Mono RX,UC,Basis,CLARUS II,Blue PRO,Clarus Sericum UV,Achromatic,Mirror Coating,Flash to Mirror ,Ultraslik,,,,,,,,,,
NoTense+ 1.67 Trans GEN S ,52.65,53.65,56.65,58.65,58.65,58.65,x,x,62.65,,,,,,,,,,
"NoTense+ 1.67 Trans GEN S (Sapphire,Amethyst,Amber,Emerald, Ruby) ",52.65,53.65,56.65,58.65,58.65,58.65,x,x,62.65,,,,,,,,,,
NoTense+ 1.74 Trans GEN S ,63.07,64.07,67.07,69.07,69.07,69.07,x,x,73.07,,,,,,,,,,
NoTense+  1.50 Trans Drivewear ,57.98,58.98,61.98,63.98,63.98,63.98,x,x,67.98,,,,,,,,,,
NoTense+  1.67 Trans Drivewear ,66.08,67.08,70.08,72.08,72.08,72.08,x,x,76.08,,,,,,,,,,
NoTense+  1.50 Solis ,14.86,15.86,18.86,20.86,20.86,20.86,x,19.86,24.86,,,,,,,,,,
NoTense+  1.56 Solis,13.66,14.66,17.66,19.66,19.66,19.66,x,18.66,23.66,,,,,,,,,,
NoTense+  1.60 Solis ,31.66,32.66,35.66,37.66,37.66,37.66,x,36.66,41.66,,,,,,,,,,
NoTense+  1.67 Solis ,44.26,45.26,48.26,50.26,50.26,50.26,x,49.26,54.26,,,,,,,,,,
NoTense+  1.50 NeoChromes ,23.66,24.66,27.66,29.66,29.66,29.66,x,x,33.66,,,,,,,,,,
NoTense+  1.60 NeoChromes ,37.36,38.36,41.36,43.36,43.36,43.36,x,x,47.36,,,,,,,,,,
NoTense+  1.67 NeoChromes ,41.47,42.47,45.47,47.47,47.47,47.47,x,x,51.47,,,,,,,,,,
NoTense+  1.50 TransXtract ,31.02,32.02,35.02,37.02,37.02,37.02,x,x,41.02,,,,,,,,,,
NoTense+  1.60 TransXtract ,47.92,48.92,51.92,53.92,53.92,53.92,x,x,57.92,,,,,,,,,,
NoTense+  1.67 TransXtract ,63.24,64.24,67.24,69.24,69.24,69.24,x,x,73.24,,,,,,,,,,
NoTense+  1.50 TransXtract Polarized Grey ,40.19,41.19,44.19,46.19,46.19,46.19,x,x,50.19,,,,,,,,,,
NoTense+  1.60 TransXtract Polarized Grey ,55.08,56.08,59.08,61.08,61.08,61.08,x,x,65.08,,,,,,,,,,
NoTense+  1.67 TransXtract Polarized Grey ,72.83,73.83,76.83,78.83,78.83,78.83,x,x,82.83,,,,,,,,,,
NoTense+  1.50 NuPolar ,15.17,16.17,19.17,21.17,21.17,21.17,x,x,25.17,,,,,,,,,,
NoTense+  1.60 NuPolar ,24.73,25.73,28.73,30.73,30.73,30.73,x,x,34.73,,,,,,,,,,
NoTense+  1.67 NuPolar ,29.62,30.62,33.62,35.62,35.62,35.62,x,x,39.62,,,,,,,,,,
NoTense+  1.7NuPolar ,44.62,45.62,48.62,50.62,50.62,50.62,x,x,54.62,,,,,,,,,,
NoTense+  1.50 NuPolar Gradient ,15.17,16.17,19.17,21.17,21.17,21.17,x,x,25.17,,,,,,,,,,
NoTense+  1.50 NuPolar Infinite Grey ,35.72,36.72,39.72,41.72,41.72,41.72,x,x,45.72,,,,,,,,,,
NoTense+ 1.50 NuPolar Tinted Universe,x,x,x,x,x,29.17,x,x,x,,,,,,,,,,
NoTense+ 1.50 NuPolar Tinted Universe gradient,x,x,x,x,x,30.17,x,x,x,,,,,,,,,,
NoTense+  1.50 NuPolar MIRROR ,26.62,x,x,x,x,x,x,x,x,,,,,,,,,,
Office,UC,Basis,CLARUS II,Blue PRO,Clarus Sericum UV,Achromatic,Mirror Coating,Flash to Mirror ,Ultraslik,,,,,,,,,,
Office/Vide 1.50 ,11.39,12.39,15.39,17.39,17.39,17.39,16.39,x,21.39,,,,,,,,,,
Office/Vide 1.53 ,19.58,20.58,23.58,25.58,25.58,x,x,x,29.58,,,,,,,,,,
Office/Vide 1.59 ,20.91,21.91,24.91,26.91,26.91,x,x,x,30.91,,,,,,,,,,
Office/Vide 1.60 ,18.89,19.89,22.89,24.89,24.89,24.89,23.89,x,28.89,,,,,,,,,,
Office/Vide 1.67 ,27.45,28.45,31.45,33.45,33.45,33.45,32.45,x,37.45,,,,,,,,,,
Office/Vide 1.50 BLUE420 ,15.95,16.95,19.95,21.95,21.95,21.95,x,x,25.95,,,,,,,,,,
Office/Vide 1.60 BLUE420 ,22.67,23.67,26.67,28.67,28.67,28.67,x,x,32.67,,,,,,,,,,
Office/Vide 1.67 BLUE420 ,32.94,33.94,36.94,38.94,38.94,38.94,x,x,42.94,,,,,,,,,,
Camber Office,UC,Basis,CLARUS II,Blue PRO,Clarus Sericum UV,Achromatic,Mirror Coating,Flash to Mirror ,Ultraslik,,,,,,,,,,
Camber Office 1.50 ,28.49,29.49,32.49,34.49,34.49,34.49,x,x,38.49,,,,,,,,,,
Camber Office 1.53 ,48.96,49.96,52.96,54.96,54.96,x,x,x,58.96,,,,,,,,,,
Camber Office 1.59 ,52.27,53.27,56.27,58.27,58.27,x,x,x,62.27,,,,,,,,,,
Camber Office 1.60 ,47.23,48.23,51.23,53.23,53.23,53.23,x,x,57.23,,,,,,,,,,
Camber Office 1.67 ,68.62,69.62,72.62,74.62,74.62,74.62,x,x,78.62,,,,,,,,,,
Camber Office 1.74 ,98.81,99.81,102.81,104.81,104.81,104.81,x,x,108.81,,,,,,,,,,
Camber Office 1.60 UV420 ,48.73,49.73,52.73,54.73,54.73,54.73,x,x,58.73,,,,,,,,,,
Camber Office 1.67 UV420 ,70.62,71.62,74.62,76.62,76.62,76.62,x,x,80.62,,,,,,,,,,
Camber Office 1.74 UV420,101.31,102.31,105.31,107.31,107.31,107.31,x,x,111.31,,,,,,,,,,
Natura,UC,Basis,CLARUS II,Blue PRO,Clarus Sericum UV,Achromatic,Mirror Coating,Flash to Mirror ,Ultraslik,,,,,,,,,,
Natura 1.50 ,17.27,18.27,21.27,23.27,23.27,23.27,22.27,x,27.27,,,,,,,,,,
Natura 1.53 ,31.24,32.24,35.24,37.24,37.24,x,x,x,41.24,,,,,,,,,,
Natura 1.56 ,19.11,20.11,23.11,25.11,25.11,x,x,x,29.11,,,,,,,,,,
Natura 1.59 ,24.62,25.62,28.62,30.62,30.62,x,x,x,34.62,,,,,,,,,,
Natura 1.60 ,26.83,27.83,30.83,32.83,32.83,32.83,31.83,x,36.83,,,,,,,,,,
Natura 1.67 ,34.18,35.18,38.18,40.18,40.18,40.18,39.18,x,44.18,,,,,,,,,,
Natura 1.74 ,53.29,54.29,57.29,59.29,59.29,59.29,x,x,63.29,,,,,,,,,,
Natura 1.50 Solis ,22.18,23.18,26.18,28.18,28.18,28.18,x,27.18,32.18,,,,,,,,,,
Natura 1.56 Solis ,20.98,21.98,24.98,26.98,26.98,26.98,x,25.98,30.98,,,,,,,,,,
Natura 1.60 Solis ,35.25,36.25,39.25,41.25,41.25,41.25,x,40.25,45.25,,,,,,,,,,
Natura 1.67 Solis ,43.81,44.81,47.81,49.81,49.81,49.81,x,48.81,53.81,,,,,,,,,,
Natura 1.50 NeoChromes ,30.73,31.73,34.73,36.73,36.73,36.73,x,x,40.73,,,,,,,,,,
Natura 1.60 NeoChromes ,44.15,45.15,48.15,50.15,50.15,50.15,x,x,54.15,,,,,,,,,,
Natura 1.67 NeoChromes ,52.81,53.81,56.81,58.81,58.81,58.81,x,x,62.81,,,,,,,,,,
Natura 1.50 BLUE420 ,24.62,25.62,28.62,30.62,30.62,30.62,x,x,34.62,,,,,,,,,,
Natura 1.60 BLUE420 ,32.19,33.19,36.19,38.19,38.19,38.19,x,x,42.19,,,,,,,,,,
Natura 1.67 BLUE420 ,41.01,42.01,45.01,47.01,47.01,47.01,x,x,51.01,,,,,,,,,,
Natura 1.50 Trans GEN S ,35.04,36.04,39.04,41.04,41.04,41.04,x,x,45.04,,,,,,,,,,
"Natura 1.50 Trans GEN S (Sapphire,Amethyst,Amber,Emerald, Ruby) ",35.04,36.04,39.04,41.04,41.04,41.04,x,x,45.04,,,,,,,,,,
Natura 1.53 Trans GEN S ,46.10,47.10,50.10,52.10,52.10,x,x,x,56.10,,,,,,,,,,
Natura 1.60 Trans GEN S ,52.47,53.47,56.47,58.47,58.47,58.47,x,x,62.47,,,,,,,,,,
"Natura 1.60 Trans GEN S (Sapphire,Amethyst,Amber,Emerald, Ruby) ",52.47,53.47,56.47,58.47,58.47,58.47,x,x,62.47,,,,,,,,,,
Natura 1.67 Trans GEN S ,63.99,64.99,67.99,69.99,69.99,69.99,x,x,73.99,,,,,,,,,,
"Natura 1.67 Trans GEN S (Sapphire,Amethyst,Amber,Emerald, Ruby) ",63.99,64.99,67.99,69.99,69.99,69.99,x,x,73.99,,,,,,,,,,
Natura 1.74 Trans GEN S ,74.41,75.41,78.41,80.41,80.41,80.41,x,x,84.41,,,,,,,,,,
Natura 1.50 Trans Drivewear ,69.66,70.66,73.66,75.66,75.66,75.66,x,x,79.66,,,,,,,,,,
Natura 1.67 Trans Drivewear ,77.76,78.76,81.76,83.76,83.76,83.76,x,x,87.76,,,,,,,,,,
Natura 1.50 TransXtract ,44.13,45.13,48.13,50.13,50.13,50.13,x,x,54.13,,,,,,,,,,
Natura 1.60 TransXtract ,59.02,60.02,63.02,65.02,65.02,65.02,x,x,69.02,,,,,,,,,,
Natura 1.67 TransXtract ,72.88,73.88,76.88,78.88,78.88,78.88,x,x,82.88,,,,,,,,,,
Natura 1.50 TransXtract Polarized Grey ,53.32,54.32,57.32,59.32,59.32,59.32,x,x,63.32,,,,,,,,,,
Natura 1.60 TransXtract Polarized Grey ,66.18,67.18,70.18,72.18,72.18,72.18,x,x,76.18,,,,,,,,,,
Natura 1.67 TransXtract Polarized Grey ,82.47,83.47,86.47,88.47,88.47,88.47,x,x,92.47,,,,,,,,,,
Natura 1.50 NuPolar ,33.44,34.44,37.44,39.44,39.44,39.44,x,x,43.44,,,,,,,,,,
Natura 1.60 NuPolar ,55.49,56.49,59.49,61.49,61.49,61.49,x,x,65.49,,,,,,,,,,
Natura 1.67 NuPolar ,76.81,77.81,80.81,82.81,82.81,82.81,x,x,86.81,,,,,,,,,,
Natura 1.74 NuPolar ,84.94,85.94,88.94,90.94,90.94,90.94,x,x,94.94,,,,,,,,,,
Natura 1.50 NuPolar Gradient ,33.44,34.44,37.44,39.44,39.44,39.44,x,x,43.44,,,,,,,,,,
Natura 1.50 NuPolar Infinite Grey ,47.41,48.41,51.41,53.41,53.41,53.41,x,x,57.41,,,,,,,,,,
Natura 1.50 NuPolar Tinted Universe,x,x,x,x,x,47.44,x,x,x,,,,,,,,,,
Natura 1.50 NuPolar Tinted Universe gradient,x,x,x,x,x,48.44,x,x,x,,,,,,,,,,
Promo Lens,UC,Basis,CLARUS II,Blue PRO,Clarus Sericum UV,Achromatic,Mirror Coating,Flash to Mirror ,Ultraslik,,,,,,,,,,
Promo Lens 1.50 ,9.87,10.87,13.87,15.87,15.87,15.87,14.87,x,19.87,,,,,,,,,,
Promo Lens 1.53 ,17.85,18.85,21.85,23.85,23.85,x,x,x,27.85,,,,,,,,,,
Promo Lens 1.56 ,10.92,11.92,14.92,16.92,16.92,x,x,x,20.92,,,,,,,,,,
Promo Lens 1.60 ,15.33,16.33,19.33,21.33,21.33,21.33,20.33,x,25.33,,,,,,,,,,
Promo Lens 1.67 ,19.53,20.53,23.53,25.53,25.53,25.53,24.53,x,29.53,,,,,,,,,,
Promo Lens 1.74 ,30.45,31.45,34.45,36.45,36.45,36.45,x,x,40.45,,,,,,,,,,
Promo Lens 1.50 Trans GEN S ,20.80,21.80,24.80,26.80,26.80,26.80,x,x,30.80,,,,,,,,,,
"Promo Lens 1.50 Trans GEN S (Sapphire,Amethyst,Amber,Emerald, Ruby) ",20.80,21.80,24.80,26.80,26.80,26.80,x,x,30.80,,,,,,,,,,
Promo Lens 1.53 Trans GEN S ,27.67,28.67,31.67,33.67,33.67,x,x,x,37.67,,,,,,,,,,
Promo Lens 1.60 Trans GEN S ,30.89,31.89,34.89,36.89,36.89,36.89,x,x,40.89,,,,,,,,,,
"Promo Lens 1.60 Trans GEN S (Sapphire,Amethyst,Amber,Emerald, Ruby) ",30.89,31.89,34.89,36.89,36.89,36.89,x,x,40.89,,,,,,,,,,
Promo Lens 1.67 Trans GEN S ,37.37,38.37,41.37,43.37,43.37,43.37,x,x,47.37,,,,,,,,,,
"Promo Lens 1.67 Trans GEN S (Sapphire,Amethyst,Amber,Emerald, Ruby) ",37.37,38.37,41.37,43.37,43.37,43.37,x,x,47.37,,,,,,,,,,
Promo Lens 1.74 Trans GEN S ,47.79,48.79,51.79,53.79,53.79,53.79,x,x,57.79,,,,,,,,,,
Promo Lens 1.50 Solis ,12.67,13.67,16.67,18.67,18.67,18.67,x,17.67,22.67,,,,,,,,,,
Promo Lens 1.56 Solis ,11.47,12.47,15.47,17.47,17.47,17.47,x,16.47,21.47,,,,,,,,,,
Promo Lens 1.60 Solis ,20.14,21.14,24.14,26.14,26.14,26.14,x,25.14,30.14,,,,,,,,,,
Promo Lens 1.67 Solis ,25.22,26.22,29.22,31.22,31.22,31.22,x,30.22,35.22,,,,,,,,,,
Promo Lens 1.50 NeoChromes ,16.49,17.49,20.49,22.49,22.49,22.49,x,x,26.49,,,,,,,,,,
Promo Lens 1.60 NeoChromes ,22.57,23.57,26.57,28.57,28.57,28.57,x,x,32.57,,,,,,,,,,
Promo Lens 1.67 NeoChromes ,26.19,27.19,30.19,32.19,32.19,32.19,x,x,36.19,,,,,,,,,,
Promo Lens 1.50 BLUE420 ,13.82,14.82,17.82,19.82,19.82,19.82,x,x,23.82,,,,,,,,,,
Promo Lens 1.60 BLUE420 ,18.40,19.40,22.40,24.40,24.40,24.40,x,x,28.40,,,,,,,,,,
Promo Lens 1.67 BLUE420 ,23.44,24.44,27.44,29.44,29.44,29.44,x,x,33.44,,,,,,,,,,
Promo Lens 1.50 TransXtract ,25.22,26.22,29.22,31.22,31.22,31.22,x,x,35.22,,,,,,,,,,
Promo Lens 1.60 TransXtract ,33.73,34.73,37.73,39.73,39.73,39.73,x,x,43.73,,,,,,,,,,
Promo Lens 1.67 TransXtract ,41.65,42.65,45.65,47.65,47.65,47.65,x,x,51.65,,,,,,,,,,
Full Screen,UC,Basis,CLARUS II,Blue PRO,Clarus Sericum UV,Achromatic,Mirror Coating,Flash to Mirror ,Ultraslik,,,,,,,,,,
Full Screen 1.50 ,26.88,27.88,30.88,32.88,32.88,32.88,31.88,x,36.88,,,,,,,,,,
Full Screen 1.53 ,42.89,43.89,46.89,48.89,48.89,x,x,x,52.89,,,,,,,,,,
Full Screen 1.56 ,28.63,29.63,32.63,34.63,34.63,x,x,x,38.63,,,,,,,,,,
Full Screen 1.59 ,39.40,40.40,43.40,45.40,45.40,x,x,x,49.40,,,,,,,,,,
Full Screen 1.60 ,39.40,40.40,43.40,45.40,45.40,45.40,44.40,x,49.40,,,,,,,,,,
Full Screen 1.67 ,47.08,48.08,51.08,53.08,53.08,53.08,52.08,x,57.08,,,,,,,,,,
Full Screen 1.74 ,68.03,69.03,72.03,74.03,74.03,74.03,x,x,78.03,,,,,,,,,,
Full Screen 1.50 Solis ,31.92,32.92,35.92,37.92,37.92,37.92,x,36.92,41.92,,,,,,,,,,
Full Screen 1.56 Solis ,30.72,31.72,34.72,36.72,36.72,36.72,x,35.72,40.72,,,,,,,,,,
Full Screen 1.60 Solis ,46.19,47.19,50.19,52.19,52.19,52.19,x,51.19,56.19,,,,,,,,,,
Full Screen 1.67 Solis ,53.19,54.19,57.19,59.19,59.19,59.19,x,58.19,63.19,,,,,,,,,,
Full Screen 1.50 NeoChromes ,43.13,44.13,47.13,49.13,49.13,49.13,x,x,53.13,,,,,,,,,,
Full Screen 1.60 NeoChromes ,56.94,57.94,60.94,62.94,62.94,62.94,x,x,66.94,,,,,,,,,,
Full Screen 1.67 NeoChromes ,62.92,63.92,66.92,68.92,68.92,68.92,x,x,72.92,,,,,,,,,,
Full Screen 1.50 BLUE420 ,37.63,38.63,41.63,43.63,43.63,43.63,x,x,47.63,,,,,,,,,,
Full Screen 1.60 BLUE420 ,47.27,48.27,51.27,53.27,53.27,53.27,x,x,57.27,,,,,,,,,,
Full Screen 1.67 BLUE420 ,56.49,57.49,60.49,62.49,62.49,62.49,x,x,66.49,,,,,,,,,,
Full Screen 1.50 Trans GEN S ,47.44,48.44,51.44,53.44,53.44,53.44,x,x,57.44,,,,,,,,,,
"Full Screen 1.50 Trans GEN S (Sapphire,Amethyst,Amber,Emerald, Ruby) ",47.44,48.44,51.44,53.44,53.44,53.44,x,x,57.44,,,,,,,,,,
Full Screen 1.53 Trans GEN S ,53.67,54.67,57.67,59.67,59.67,x,x,x,63.67,,,,,,,,,,
Full Screen 1.60 Trans GEN S ,65.26,66.26,69.26,71.26,71.26,71.26,x,x,75.26,,,,,,,,,,
"Full Screen 1.60 Trans GEN S (Sapphire,Amethyst,Amber,Emerald, Ruby) ",65.26,66.26,69.26,71.26,71.26,71.26,x,x,75.26,,,,,,,,,,
Full Screen 1.67 Trans GEN S ,74.10,75.10,78.10,80.10,80.10,80.10,x,x,84.10,,,,,,,,,,
"Full Screen 1.67 Trans GEN S (Sapphire,Amethyst,Amber,Emerald, Ruby) ",74.10,75.10,78.10,80.10,80.10,80.10,x,x,84.10,,,,,,,,,,
Full Screen 1.74 Trans GEN S ,84.52,85.52,88.52,90.52,90.52,90.52,x,x,94.52,,,,,,,,,,
Full Screen 1.50 Trans Drivewear ,87.71,88.71,91.71,93.71,93.71,93.71,x,x,97.71,,,,,,,,,,
Full Screen 1.67 Trans Drivewear ,95.81,96.81,99.81,101.81,101.81,101.81,x,x,105.81,,,,,,,,,,
Full Screen 1.50 TransXtract ,51.36,52.36,55.36,57.36,57.36,57.36,x,x,61.36,,,,,,,,,,
Full Screen 1.60 TransXtract ,71.36,72.36,75.36,77.36,77.36,77.36,x,x,81.36,,,,,,,,,,
Full Screen 1.67 TransXtract ,81.45,82.45,85.45,87.45,87.45,87.45,x,x,91.45,,,,,,,,,,
Full Screen 1.50 TransXtract Polarized Grey ,60.53,61.53,64.53,66.53,66.53,66.53,x,x,70.53,,,,,,,,,,
Full Screen 1.60 TransXtract Polarized Grey ,78.52,79.52,82.52,84.52,84.52,84.52,x,x,88.52,,,,,,,,,,
Full Screen 1.67 TransXtract Polarized Grey ,91.04,92.04,95.04,97.04,97.04,97.04,x,x,101.04,,,,,,,,,,
Full Screen 1.50 NuPolar ,40.85,41.85,44.85,46.85,46.85,46.85,x,x,50.85,,,,,,,,,,
Full Screen 1.60 NuPolar ,65.93,66.93,69.93,71.93,71.93,71.93,x,x,75.93,,,,,,,,,,
Full Screen 1.67 NuPolar ,86.88,87.88,90.88,92.88,92.88,92.88,x,x,96.88,,,,,,,,,,
Full Screen 1.74 NuPolar ,95.38,96.38,99.38,101.38,101.38,101.38,x,x,105.38,,,,,,,,,,
Full Screen 1.50 NuPolar Gradient ,40.85,41.85,44.85,46.85,46.85,46.85,x,x,50.85,,,,,,,,,,
Full Screen 1.50 NuPolar Infinite Grey ,65.46,66.46,69.46,71.46,71.46,71.46,x,x,75.46,,,,,,,,,,
Full Screen 1.50 NuPolar Tinted Universe,x,x,x,x,x,54.85,x,x,x,,,,,,,,,,
Full Screen 1.50 NuPolar Tinted Universe gradient,x,x,x,x,x,55.85,x,x,x,,,,,,,,,,
Multifit + Hard (H),UC,Basis,CLARUS II,Blue PRO,Clarus Sericum UV,Achromatic,Mirror Coating,Flash to Mirror ,Ultraslik,,,,,,,,,,
MultiFit+ 1.50 ,28.30,29.30,32.30,34.30,34.30,34.30,33.30,x,38.30,,,,,,,,,,
MultiFit+ 1.53 ,45.20,46.20,49.20,51.20,51.20,x,x,x,55.20,,,,,,,,,,
MultiFit+ 1.56 ,30.14,31.14,34.14,36.14,36.14,x,x,x,40.14,,,,,,,,,,
MultiFit+ 1.59 ,41.53,42.53,45.53,47.53,47.53,x,x,x,51.53,,,,,,,,,,
MultiFit+ 1.60 ,41.53,42.53,45.53,47.53,47.53,47.53,46.53,x,51.53,,,,,,,,,,
MultiFit+ 1.67 ,49.61,50.61,53.61,55.61,55.61,55.61,54.61,x,59.61,,,,,,,,,,
MultiFit+ 1.74 ,71.66,72.66,75.66,77.66,77.66,77.66,x,x,81.66,,,,,,,,,,
MultiFit+ 1.50 Solis ,34.40,35.40,38.40,40.40,40.40,40.40,x,39.40,44.40,,,,,,,,,,
MultiFit+ 1.56 Solis ,33.20,34.20,37.20,39.20,39.20,39.20,x,38.20,43.20,,,,,,,,,,
MultiFit+ 1.60 Solis ,50.27,51.27,54.27,56.27,56.27,56.27,x,55.27,60.27,,,,,,,,,,
MultiFit+ 1.67 Solis ,58.31,59.31,62.31,64.31,64.31,64.31,x,63.31,68.31,,,,,,,,,,
MultiFit+ 1.50 NeoChromes ,45.43,46.43,49.43,51.43,51.43,51.43,x,x,55.43,,,,,,,,,,
MultiFit+ 1.60 NeoChromes ,60.32,61.32,64.32,66.32,66.32,66.32,x,x,70.32,,,,,,,,,,
MultiFit+ 1.67 NeoChromes ,66.77,67.77,70.77,72.77,72.77,72.77,x,x,76.77,,,,,,,,,,
MultiFit+ 1.50 BLUE420 ,39.62,40.62,43.62,45.62,45.62,45.62,x,x,49.62,,,,,,,,,,
MultiFit+ 1.60 BLUE420 ,49.83,50.83,53.83,55.83,55.83,55.83,x,x,59.83,,,,,,,,,,
MultiFit+ 1.67 BLUE420 ,59.54,60.54,63.54,65.54,65.54,65.54,x,x,69.54,,,,,,,,,,
MultiFit+ 1.50 Trans GEN S ,49.74,50.74,53.74,55.74,55.74,55.74,x,x,59.74,,,,,,,,,,
"MultiFit+ 1.50 Trans GEN S (Sapphire,Amethyst,Amber,Emerald, Ruby) ",49.74,50.74,53.74,55.74,55.74,55.74,x,x,59.74,,,,,,,,,,
MultiFit+ 1.53 Trans GEN S ,56.39,57.39,60.39,62.39,62.39,x,x,x,66.39,,,,,,,,,,
MultiFit+ 1.60 Trans GEN S ,68.64,69.64,72.64,74.64,74.64,74.64,x,x,78.64,,,,,,,,,,
"MultiFit+ 1.60 Trans GEN S (Sapphire,Amethyst,Amber,Emerald, Ruby) ",68.64,69.64,72.64,74.64,74.64,74.64,x,x,78.64,,,,,,,,,,
MultiFit+ 1.67 Trans GEN S ,77.95,78.95,81.95,83.95,83.95,83.95,x,x,87.95,,,,,,,,,,
"MultiFit+ 1.67 Trans GEN S (Sapphire,Amethyst,Amber,Emerald, Ruby) ",77.95,78.95,81.95,83.95,83.95,83.95,x,x,87.95,,,,,,,,,,
MultiFit + 1.74 Trans GEN S ,88.37,89.37,92.37,94.37,94.37,94.37,x,x,98.37,,,,,,,,,,
MultiFit+ 1.50 Trans Drivewear ,91.17,92.17,95.17,97.17,97.17,97.17,x,x,101.17,,,,,,,,,,
MultiFit+ 1.67 Trans Drivewear ,99.27,100.27,103.27,105.27,105.27,105.27,x,x,109.27,,,,,,,,,,
MultiFit+ 1.50 TransXtract ,54.00,55.00,58.00,60.00,60.00,60.00,x,x,64.00,,,,,,,,,,
MultiFit+ 1.60 TransXtract ,75.19,76.19,79.19,81.19,81.19,81.19,x,x,85.19,,,,,,,,,,
MultiFit+ 1.67 TransXtract ,85.82,86.82,89.82,91.82,91.82,91.82,x,x,95.82,,,,,,,,,,
MultiFit+ 1.50 TransXtract Polarized Grey ,63.18,64.18,67.18,69.18,69.18,69.18,x,x,73.18,,,,,,,,,,
MultiFit+ 1.60 TransXtract Polarized Grey ,82.35,83.35,86.35,88.35,88.35,88.35,x,x,92.35,,,,,,,,,,
MultiFit+ 1.67 TransXtract Polarized Grey ,95.40,96.40,99.40,101.40,101.40,101.40,x,x,105.40,,,,,,,,,,
MultiFit+ 1.50 NuPolar ,43.00,44.00,47.00,49.00,49.00,49.00,x,x,53.00,,,,,,,,,,
MultiFit+ 1.60 NuPolar ,69.46,70.46,73.46,75.46,75.46,75.46,x,x,79.46,,,,,,,,,,
MultiFit+ 1.67 NuPolar ,91.51,92.51,95.51,97.51,97.51,97.51,x,x,101.51,,,,,,,,,,
MultiFit+ 1.74 NuPolar ,98.91,99.91,102.91,104.91,104.91,104.91,x,x,108.91,,,,,,,,,,
MultiFit+ 1.50 NuPolar Gradient ,43.00,44.00,47.00,49.00,49.00,49.00,x,x,53.00,,,,,,,,,,
MultiFit+ 1.50 NuPolar Infinite Grey ,68.91,69.91,72.91,74.91,74.91,74.91,x,x,78.91,,,,,,,,,,
MultiFit+ 1.50 NuPolar Tinted Universe,x,x,x,x,x,57.00,x,x,x,,,,,,,,,,
MultiFit+ 1.50 NuPolar Tinted Universe gradient,x,x,x,x,x,58.00,x,x,x,,,,,,,,,,
Velveto +,UC,Basis,CLARUS II,Blue PRO,Clarus Sericum UV,Achromatic,Mirror Coating,Flash to Mirror ,Ultraslik,,,,,,,,,,
Velveto+ 1.50 ,36.79,37.79,40.79,42.79,42.79,42.79,41.79,x,46.79,,,,,,,,,,
Velveto+ 1.53 ,58.77,59.77,62.77,64.77,64.77,x,x,x,68.77,,,,,,,,,,
Velveto+ 1.56 ,39.18,40.18,43.18,45.18,45.18,x,x,x,49.18,,,,,,,,,,
Velveto+ 1.59 ,53.99,54.99,57.99,59.99,59.99,x,x,x,63.99,,,,,,,,,,
Velveto+ 1.60 ,53.99,54.99,57.99,59.99,59.99,59.99,58.99,x,63.99,,,,,,,,,,
Velveto+ 1.67 ,64.50,65.50,68.50,70.50,70.50,70.50,69.50,x,74.50,,,,,,,,,,
Velveto+ 1.74 ,93.17,94.17,97.17,99.17,99.17,99.17,x,x,103.17,,,,,,,,,,
Velveto+ 1.50 Solis ,44.72,45.72,48.72,50.72,50.72,50.72,x,49.72,54.72,,,,,,,,,,
Velveto+ 1.56 Solis ,43.52,44.52,47.52,49.52,49.52,49.52,x,48.52,53.52,,,,,,,,,,
Velveto+ 1.60 Solis ,65.35,66.35,69.35,71.35,71.35,71.35,x,70.35,75.35,,,,,,,,,,
Velveto+ 1.67 Solis ,75.79,76.79,79.79,81.79,81.79,81.79,x,80.79,85.79,,,,,,,,,,
Velveto+ 1.50 NeoChromes ,59.22,60.22,63.22,65.22,65.22,65.22,x,x,69.22,,,,,,,,,,
Velveto+ 1.60 NeoChromes ,80.28,81.28,84.28,86.28,86.28,86.28,x,x,90.28,,,,,,,,,,
Velveto+ 1.67 NeoChromes ,89.60,90.60,93.60,95.60,95.60,95.60,x,x,99.60,,,,,,,,,,
Velveto+ 1.50 BLUE420 ,51.50,52.50,55.50,57.50,57.50,57.50,x,x,61.50,,,,,,,,,,
Velveto+ 1.60 BLUE420 ,64.79,65.79,68.79,70.79,70.79,70.79,x,x,74.79,,,,,,,,,,
Velveto+ 1.67 BLUE420 ,77.40,78.40,81.40,83.40,83.40,83.40,x,x,87.40,,,,,,,,,,
Velveto+ 1.50 Trans GEN S ,63.53,64.53,67.53,69.53,69.53,69.53,x,x,73.53,,,,,,,,,,
"Velveto+ 1.50 Trans GEN S (Sapphire,Amethyst,Amber,Emerald, Ruby) ",63.53,64.53,67.53,69.53,69.53,69.53,x,x,73.53,,,,,,,,,,
Velveto+ 1.53 Trans GEN S ,72.38,73.38,76.38,78.38,78.38,x,x,x,82.38,,,,,,,,,,
Velveto+ 1.60 Trans GEN S ,88.60,89.60,92.60,94.60,94.60,94.60,x,x,98.60,,,,,,,,,,
"Velveto+ 1.60 Trans GEN S (Sapphire,Amethyst,Amber,Emerald, Ruby) ",88.60,89.60,92.60,94.60,94.60,94.60,x,x,98.60,,,,,,,,,,
Velveto+ 1.67 Trans GEN S ,100.78,101.78,104.78,106.78,106.78,106.78,x,x,110.78,,,,,,,,,,
"Velveto+ 1.67 Trans GEN S (Sapphire,Amethyst,Amber,Emerald, Ruby) ",100.78,101.78,104.78,106.78,106.78,106.78,x,x,110.78,,,,,,,,,,
