Mono RX,UC,Basis,CLARUS II,Blue PRO,Clarus Sericum UV,Achromatic,Mirror Coating,Flash to Mirror ,Ultraslik,,,,,,,,,,
Mono FF 1.59 ,19.61,20.61,23.61,25.61,25.61,x,x,x,29.61,,,,,,,,,,
Mono FF 1.60 ,20.98,21.98,24.98,26.98,26.98,26.98,25.98,x,30.98,,,,,,,,,,
Mono FF 1.67 ,29.07,30.07,33.07,35.07,35.07,35.07,32.58,x,39.07,,,,,,,,,,
Mono FF 1.74 ,45.64,46.64,49.64,51.64,51.64,51.64,50.64,x,55.64,,,,,,,,,,
Mono FF 1.50 BLUE420 ,13.05,14.05,17.05,19.05,19.05,19.05,x,x,23.05,,,,,,,,,,
Mono FF 1.60 BLUE420 ,24.37,25.37,28.37,30.37,30.37,30.37,x,x,34.37,,,,,,,,,,
Mono FF 1.67 BLUE420 ,34.07,35.07,38.07,40.07,40.07,40.07,x,x,44.07,,,,,,,,,,
Junior 1.50 ,10.47,11.47,14.47,16.47,16.47,16.47,15.47,x,20.47,,,,,,,,,,
Junior 1.50 BLUE420 ,13.05,14.05,17.05,19.05,19.05,19.05,x,x,23.05,,,,,,,,,,
Mono FF 1.50 Trans GEN S ,27.66,28.66,31.66,33.66,33.66,33.66,x,x,37.66,,,,,,,,,,
"Mono FF 1.50 Trans GEN S (Sapphire,Amethyst,Amber,Emerald, Ruby) ",27.66,28.66,31.66,33.66,33.66,33.66,x,x,37.66,,,,,,,,,,
Mono FF 1.53 Trans GEN S ,54.40,55.40,58.40,60.40,60.40,x,x,x,64.40,,,,,,,,,,
Mono FF 1.60 Trans GEN S ,47.11,48.11,51.11,53.11,53.11,53.11,x,x,57.11,,,,,,,,,,
"Mono FF 1.60 Trans GEN S (Sapphire,Amethyst,Amber,Emerald, Ruby) ",47.11,48.11,51.11,53.11,53.11,53.11,x,x,57.11,,,,,,,,,,
Mono FF 1.67 Trans GEN S ,54.80,55.80,58.80,60.80,60.80,60.80,x,x,64.80,,,,,,,,,,
"Mono FF 1.67 Trans GEN S (Sapphire,Amethyst,Amber,Emerald, Ruby) ",54.80,55.80,58.80,60.80,60.80,60.80,x,x,64.80,,,,,,,,,,
Mono FF 1.74 Trans GEN S ,65.22,66.22,69.22,71.22,71.22,71.22,x,x,75.22,,,,,,,,,,
Mono FF 1.50 Trans Drivewear ,57.96,58.96,61.96,63.96,63.96,63.96,x,x,67.96,,,,,,,,,,
Mono FF 1.67 Trans Drivewear ,66.06,67.06,70.06,72.06,72.06,72.06,x,x,76.06,,,,,,,,,,
