Lens Type,Lens Type Label,Lens Index,Coating,Coating Label,Single Lens Price (EUR),Pair Price Base (EUR),Tint Type,Tint Color,Tint Shade (%),Tint Recipe,Tint Fee Per Pair (EUR),Photochromic Color,Polarized Color,Frame Type,Frame Type Label,Edging Fee (EUR),Lens Pair Total (EUR),Rx Add-on Net (EUR),Profit (EUR),Rx Retail Net (EUR),Total Rx Add-on (EUR),Available,Notes
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Brown,85,,6,,,FULL_FRAME,Full Frame,4.6,34.98,39.58,15,54.58,54.58,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Brown,85,,6,,,NYLON_FRAME,Nylon Frame,5.9,34.98,40.88,15,55.88,55.88,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Brown,85,,6,,,RIMLESS_PRESSING,Rimless (Plastic Pressing),12,34.98,46.98,15,61.98,61.98,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Brown,85,,6,,,RIMLESS_INDIVIDUAL,Rimless (Individual Mountings),20,34.98,54.98,15,69.98,69.98,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Brown,85,,6,,,LINDBERG_COMPLEX,Lindberg / Complex,20,34.98,54.98,15,69.98,69.98,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Grey,15,,6,,,FULL_FRAME,Full Frame,4.6,34.98,39.58,15,54.58,54.58,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Grey,15,,6,,,NYLON_FRAME,Nylon Frame,5.9,34.98,40.88,15,55.88,55.88,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Grey,15,,6,,,RIMLESS_PRESSING,Rimless (Plastic Pressing),12,34.98,46.98,15,61.98,61.98,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Grey,15,,6,,,RIMLESS_INDIVIDUAL,Rimless (Individual Mountings),20,34.98,54.98,15,69.98,69.98,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Grey,15,,6,,,LINDBERG_COMPLEX,Lindberg / Complex,20,34.98,54.98,15,69.98,69.98,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Grey,70,,6,,,FULL_FRAME,Full Frame,4.6,34.98,39.58,15,54.58,54.58,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Grey,70,,6,,,NYLON_FRAME,Nylon Frame,5.9,34.98,40.88,15,55.88,55.88,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Grey,70,,6,,,RIMLESS_PRESSING,Rimless (Plastic Pressing),12,34.98,46.98,15,61.98,61.98,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Grey,70,,6,,,RIMLESS_INDIVIDUAL,Rimless (Individual Mountings),20,34.98,54.98,15,69.98,69.98,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Grey,70,,6,,,LINDBERG_COMPLEX,Lindberg / Complex,20,34.98,54.98,15,69.98,69.98,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Grey,85,,6,,,FULL_FRAME,Full Frame,4.6,34.98,39.58,15,54.58,54.58,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Grey,85,,6,,,NYLON_FRAME,Nylon Frame,5.9,34.98,40.88,15,55.88,55.88,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Grey,85,,6,,,RIMLESS_PRESSING,Rimless (Plastic Pressing),12,34.98,46.98,15,61.98,61.98,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Grey,85,,6,,,RIMLESS_INDIVIDUAL,Rimless (Individual Mountings),20,34.98,54.98,15,69.98,69.98,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Grey,85,,6,,,LINDBERG_COMPLEX,Lindberg / Complex,20,34.98,54.98,15,69.98,69.98,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Green,15,,6,,,FULL_FRAME,Full Frame,4.6,34.98,39.58,15,54.58,54.58,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Green,15,,6,,,NYLON_FRAME,Nylon Frame,5.9,34.98,40.88,15,55.88,55.88,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Green,15,,6,,,RIMLESS_PRESSING,Rimless (Plastic Pressing),12,34.98,46.98,15,61.98,61.98,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Green,15,,6,,,RIMLESS_INDIVIDUAL,Rimless (Individual Mountings),20,34.98,54.98,15,69.98,69.98,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Green,15,,6,,,LINDBERG_COMPLEX,Lindberg / Complex,20,34.98,54.98,15,69.98,69.98,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Green,30,,6,,,FULL_FRAME,Full Frame,4.6,34.98,39.58,15,54.58,54.58,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Green,30,,6,,,NYLON_FRAME,Nylon Frame,5.9,34.98,40.88,15,55.88,55.88,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Green,30,,6,,,RIMLESS_PRESSING,Rimless (Plastic Pressing),12,34.98,46.98,15,61.98,61.98,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Green,30,,6,,,RIMLESS_INDIVIDUAL,Rimless (Individual Mountings),20,34.98,54.98,15,69.98,69.98,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Green,30,,6,,,LINDBERG_COMPLEX,Lindberg / Complex,20,34.98,54.98,15,69.98,69.98,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Green,85,,6,,,FULL_FRAME,Full Frame,4.6,34.98,39.58,15,54.58,54.58,Yes,
TINTED,Tinted (Mono RX),1.56,SERICUM_UV,UV Protection,14.49,28.98,FULL_TINT_CATALOG,Green,85,,6,,,NYLON_FRAME,Nylon Frame,5.9,34.98,40.88,15,55.88,55.88,Yes,
