sku;name;images;video;stock_a;stock_a_days;stock_b;stock_b_days;stock_c;stock_c_days;pvd_old;pvd;pvd_dif;pvr_old;pvr;pvr_dif;category
S72138880;Ladies' Sunglasses Ted Baker TB1186 60022;https://www.bigbuy.eu/7734691/ladies-sunglasses-ted-baker-tb1186-60022_1288005.jpg;-;44;1;0;5;44;1;-;49.22;0.00%;-;60.02;0.00%;Sunglasses
S72138863;Ladies' Sunglasses MAX&Co MO0076 5555F;https://www.bigbuy.eu/7734806/ladies-sunglasses-max-co-mo0076-5555f_1287952.jpg;-;1;1;0;5;1;1;-;52.41;0.00%;-;63.91;0.00%;Sunglasses
S72138862;Ladies' Sunglasses MAX&Co MO0076 5501B;https://www.bigbuy.eu/7734644/ladies-sunglasses-max-co-mo0076-5501b_1287989.jpg;-;3;1;0;5;3;1;-;52.41;0.00%;-;63.91;0.00%;Sunglasses
S72138861;Men's Sunglasses MAX&Co MO0075 5572B;https://www.bigbuy.eu/7734486/men-s-sunglasses-max-co-mo0075-5572b_1287934.jpg;-;13;1;0;5;13;1;-;52.41;0.00%;-;63.91;0.00%;Sunglasses
S72138859;Ladies' Sunglasses MAX&Co MO0072 5633B;https://www.bigbuy.eu/7734474/ladies-sunglasses-max-co-mo0072-5633b_1287932.jpg;-;24;1;0;5;24;1;-;52.41;0.00%;-;63.91;0.00%;Sunglasses
S72138858;Ladies' Sunglasses MAX&Co MO0060 5833B;https://www.bigbuy.eu/7734529/ladies-sunglasses-max-co-mo0060-5833b_1287954.jpg;-;20;1;0;5;20;1;-;52.41;0.00%;-;63.91;0.00%;Sunglasses
S72138857;Ladies' Sunglasses MAX&Co MO0026 5733B;https://www.bigbuy.eu/7734802/ladies-sunglasses-max-co-mo0026-5733b_1288045.jpg;-;20;1;0;5;20;1;-;52.41;0.00%;-;63.91;0.00%;Sunglasses
S72138856;Ladies' Sunglasses MAX&Co MO0098 5301A;https://www.bigbuy.eu/7734494/ladies-sunglasses-max-co-mo0098-5301a_1287940.jpg;-;22;1;0;5;22;1;-;51.02;0.00%;-;62.22;0.00%;Sunglasses
S72138734;Ladies' Sunglasses Andy Wolf VIRGINIA 57C;https://www.bigbuy.eu/7734626/ladies-sunglasses-andy-wolf-virginia-57c_1287983.jpg;-;1;1;0;5;1;1;-;47.21;0.00%;-;57.57;0.00%;Sunglasses
S72138732;Ladies' Sunglasses Andy Wolf TATI B- 48F;https://www.bigbuy.eu/7734774/ladies-sunglasses-andy-wolf-tati-b-48f_1288035.jpg;-;3;1;0;5;3;1;-;47.21;0.00%;-;57.57;0.00%;Sunglasses
S72138731;Ladies' Sunglasses Andy Wolf SUSAN 56C;https://www.bigbuy.eu/7734749/ladies-sunglasses-andy-wolf-susan-56c_1288027.jpg;-;1;1;0;5;1;1;-;49.49;0.00%;-;60.35;0.00%;Sunglasses
S72138726;Ladies' Sunglasses Andy Wolf JOY 56B;https://www.bigbuy.eu/7734475/ladies-sunglasses-andy-wolf-joy-56b_1287936.jpg;-;1;1;0;5;1;1;-;47.21;0.00%;-;57.57;0.00%;Sunglasses
S72138724;Ladies' Sunglasses Andy Wolf IRINA 59B;https://www.bigbuy.eu/7734782/ladies-sunglasses-andy-wolf-irina-59b_1288039.jpg;-;3;1;0;5;3;1;-;47.21;0.00%;-;57.57;0.00%;Sunglasses
S72138721;Ladies' Sunglasses Andy Wolf FLORENCE 53N;https://www.bigbuy.eu/7734724/ladies-sunglasses-andy-wolf-florence-53n_1288016.jpg;-;7;1;0;5;7;1;-;47.21;0.00%;-;57.57;0.00%;Sunglasses
S72138712;Ladies' Sunglasses Andy Wolf ALEXANDRIA 555;https://www.bigbuy.eu/7734760/ladies-sunglasses-andy-wolf-alexandria-555_1288032.jpg;-;2;1;0;5;2;1;-;47.21;0.00%;-;57.57;0.00%;Sunglasses
S72138711;Ladies' Sunglasses Andy Wolf ALEXANDRIA 5503;https://www.bigbuy.eu/7734454/ladies-sunglasses-andy-wolf-alexandria-5503_1287926.jpg;-;5;1;0;5;5;1;-;47.21;0.00%;-;57.57;0.00%;Sunglasses
S72138710;Ladies' Sunglasses Andy Wolf ALEXANDRIA 5501;https://www.bigbuy.eu/7734503/ladies-sunglasses-andy-wolf-alexandria-5501_1287942.jpg;-;5;1;0;5;5;1;-;47.21;0.00%;-;57.57;0.00%;Sunglasses
S72138709;Ladies' Sunglasses Andy Wolf ADELE 59F;https://www.bigbuy.eu/7734600/ladies-sunglasses-andy-wolf-adele-59f_1287975.jpg;-;3;1;0;5;3;1;-;47.21;0.00%;-;57.57;0.00%;Sunglasses
S72138708;Ladies' Sunglasses Andy Wolf ONE58C;https://www.bigbuy.eu/7734681/ladies-sunglasses-andy-wolf-one58c_1288002.jpg;-;4;1;0;5;4;1;-;49.49;0.00%;-;60.35;0.00%;Sunglasses
S72138707;Ladies' Sunglasses Andy Wolf ONE 58A;https://www.bigbuy.eu/7734715/ladies-sunglasses-andy-wolf-one-58a_1288015.jpg;-;2;1;0;5;2;1;-;49.49;0.00%;-;60.35;0.00%;Sunglasses
S72138645;Ladies' Sunglasses Serengeti SS573003;https://www.bigbuy.eu/7734652/ladies-sunglasses-serengeti-ss573003_1287994.jpg;-;18;1;0;5;18;1;-;98.19;0.00%;-;111.58;0.00%;Sunglasses
S72138644;Ladies' Sunglasses Max Mara MM0082 6032B;https://www.bigbuy.eu/7734655/ladies-sunglasses-max-mara-mm0082-6032b_1287996.jpg;-;6;1;0;5;6;1;-;65.71;0.00%;-;77.31;0.00%;Sunglasses
S72138643;Ladies' Sunglasses Max Mara MM0054 6112B;https://www.bigbuy.eu/7734514/ladies-sunglasses-max-mara-mm0054-6112b_1287949.jpg;-;50;1;0;5;50;1;-;65.71;0.00%;-;77.31;0.00%;Sunglasses
S72138642;Ladies' Sunglasses Max Mara MM0065 5852G;https://www.bigbuy.eu/7734654/ladies-sunglasses-max-mara-mm0065-5852g_1287995.jpg;-;1;1;0;5;1;1;-;65.71;0.00%;-;77.31;0.00%;Sunglasses
S72138641;Ladies' Sunglasses Max Mara MM0042 5601B;https://www.bigbuy.eu/7734706/ladies-sunglasses-max-mara-mm0042-5601b_1288011.jpg;-;29;1;0;5;29;1;-;63.91;0.00%;-;75.19;0.00%;Sunglasses
S72138640;Ladies' Sunglasses Max Mara MM0115-K 5369A;https://www.bigbuy.eu/7734692/ladies-sunglasses-max-mara-mm0115-k-5369a_1288007.jpg;-;7;1;0;5;7;1;-;65.71;0.00%;-;77.31;0.00%;Sunglasses
S72138637;Ladies' Sunglasses Max Mara MM0107-K 5545E;https://www.bigbuy.eu/7734620/ladies-sunglasses-max-mara-mm0107-k-5545e_1287982.jpg;-;5;1;0;5;5;1;-;65.71;0.00%;-;77.31;0.00%;Sunglasses
